,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
0,"1501 FM973, Austin, TX 78725, USA",1501 S Fm 973 in Austin (TX),30.2220302,-97.6335725,1,78725,OK
1,"E Stassney Ln & S Pleasant Valley Rd, Austin, TX 78744, USA",East Pleasant Valley And Stassney in Austin (TX),30.1940034,-97.74473669999999,1,78744,OK
2,"4800 Cottonwood St, Austin, TX 78744, USA",4800 Cottonwood St in Austin (TX),30.1965928,-97.7332472,1,78744,OK
3,"700 Guadalupe St, Austin, TX 78701, USA",Guadalupe/St. Johns in Austin (TX),30.2704002,-97.7461268,2,78701,OK
4,"4200 Smith School Rd, Austin, TX 78744, USA",4200 Smith School Rd in Austin (TX),30.1928347,-97.7152788,1,78744,OK
5,"11699 James B Connolly Ln, Austin, TX 78748, USA",11699 James B Connolly Ln in Austin (TX),30.1507081,-97.8378291,1,78748,OK
7,"Sandshof Dr & Loyola Ln, Austin, TX 78724, USA",Loyola And Sandshof in Austin (TX),30.2989395,-97.6456121,1,78724,OK
8,"15207 Tacon Ln, Pflugerville, TX 78660, USA",15207 Tacon Ln in Pflugerville (TX),30.4415189,-97.65502289999999,1,78660,OK
9,"11204 Liberty Farms Dr, Austin, TX 78754, USA",11204 Liberty Farms Drive in Austin (TX),30.3610045,-97.64186339999999,1,78754,OK
10,"7619 E Ben White Blvd, Austin, TX 78741, USA",7619 E Ben White Blvd in Austin (TX),30.2172074,-97.6917385,1,78741,OK
11,"Elfen Way, Austin, TX 78724, USA",Elfen Way in Austin (TX),30.2835394,-97.6272394,1,78724,OK
12,"2115 Campfield Pkwy, Austin, TX 78745, USA",2115 Campfield Pkwy in Austin (TX),30.19075909999999,-97.8171866,1,78745,OK
13,"2201 Montopolis Dr, Austin, TX 78741, USA",2201 Montopolis in Austin (TX),30.2221438,-97.7042472,1,78741,OK
14,"4715 S Congress Ave, Austin, TX 78745, USA",4715 S Congress in Austin (TX),30.2144796,-97.7686872,1,78745,OK
15,"13425 Coomes Dr, Del Valle, TX 78617, USA",13425 Coomes Dr in Del Valle (TX),30.17043,-97.61207830000001,1,78617,OK
16,"5630 Wagon Train Rd, Austin, TX 78749, USA",5630 Wagon Train Rd in Austin (TX),30.2228981,-97.86180809999999,1,78749,OK
17,"704 Cuernavaca Dr N, Austin, TX 78733, USA",704 Cuernavaca Dr N in Austin (TX),30.3321203,-97.8689927,1,78733,OK
18,"3406 Catalina Dr, Austin, TX 78741, USA",3406 Catalina in Austin (TX),30.21891969999999,-97.7391028,1,78741,OK
19,"20412 Keilman Ln, Pflugerville, TX 78660, USA",20412 Keilman Ln in Travis (TX),30.491573,-97.59187569999999,1,78660,OK
20,"7901 Metropolis Dr, Austin, TX 78744, USA",7901 Metrololis Dr in Austin (TX),30.2056688,-97.69059349999999,1,78744,OK
22,"W Dittmar Rd & Forest Wood Rd, Austin, TX 78745, USA",Forest Wood/Dittmar in Austin (TX),30.1857738,-97.80149,1,78745,OK
23,"600 W Carrie Manor St, Manor, TX 78653, USA",600 W Carrie Manor St in Travis (TX),30.3402471,-97.563749,1,78653,OK
24,"10100 Wolftrap Dr, Austin, TX 78749, USA",10100 Wolftrap Dr in Austin (TX),30.1847609,-97.85618819999999,1,78749,OK
25,"Autumn Bay Dr & Montezuma St, Austin, TX 78744, USA",Autumn Bay Dr And Montezuma St in Austin (TX),30.1984437,-97.69717399999999,1,78744,OK
28,"5118 Heflin Ln, Austin, TX 78721, USA",5118 Heflin Ln in Austin (TX),30.2827921,-97.6766535,1,78721,OK
29,,3300 Killingsworth Ln. #307 in Pflugerville (TX),,,0,,REQUEST_DENIED
31,"8000 Taza Trail, Austin, TX 78724, USA",8000 Taza Ln in Travis (TX),30.285173,-97.63864,1,78724,OK
32,"W Dittmar Rd & Dempsey Ln, Austin, TX 78748, USA",West Dittmar And Dempsey Lane in Austin (TX),30.1855116,-97.8095457,1,78748,OK
33,"7601 Daffan Ln, Austin, TX 78724, USA",7601 Daffan Ln in Austin (TX),30.3135758,-97.62565579999999,1,78724,OK
34,"15100 Stave Oak Ln, Austin, TX 78724, USA",15100 Stave Oak Lane in Austin (TX),30.2523304,-97.580824,1,78724,OK
35,"Barton Point Dr, Austin, TX 78733, USA",Barton Point Drive in Austin (TX),30.2957882,-97.89618349999999,1,78733,OK
36,"8010 N Interstate Hwy 35, Austin, TX 78753, USA",8010 N Ih 35 in Austin (TX),30.3429819,-97.6991178,1,78753,OK
