,Unnamed: 0,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
0,0,"1501 FM973, Austin, TX 78725, USA",1501 S Fm 973 in Austin (TX),30.222030199999995,-97.6335725,1,78725,OK
1,1,"E Stassney Ln & S Pleasant Valley Rd, Austin, TX 78744, USA",East Pleasant Valley And Stassney in Austin (TX),30.1940034,-97.7447367,1,78744,OK
2,2,"4800 Cottonwood St, Austin, TX 78744, USA",4800 Cottonwood St in Austin (TX),30.1965928,-97.73324720000001,1,78744,OK
3,3,"700 Guadalupe St, Austin, TX 78701, USA",Guadalupe/St. Johns in Austin (TX),30.270400199999997,-97.7461268,2,78701,OK
4,4,"4200 Smith School Rd, Austin, TX 78744, USA",4200 Smith School Rd in Austin (TX),30.192834700000002,-97.7152788,1,78744,OK
5,5,"11699 James B Connolly Ln, Austin, TX 78748, USA",11699 James B Connolly Ln in Austin (TX),30.1507081,-97.8378291,1,78748,OK
6,7,"Sandshof Dr & Loyola Ln, Austin, TX 78724, USA",Loyola And Sandshof in Austin (TX),30.298939500000003,-97.6456121,1,78724,OK
7,8,"15207 Tacon Ln, Pflugerville, TX 78660, USA",15207 Tacon Ln in Pflugerville (TX),30.441518900000002,-97.6550229,1,78660,OK
8,9,"11204 Liberty Farms Dr, Austin, TX 78754, USA",11204 Liberty Farms Drive in Austin (TX),30.3610045,-97.6418634,1,78754,OK
9,10,"7619 E Ben White Blvd, Austin, TX 78741, USA",7619 E Ben White Blvd in Austin (TX),30.217207399999996,-97.6917385,1,78741,OK
10,11,"Elfen Way, Austin, TX 78724, USA",Elfen Way in Austin (TX),30.2835394,-97.62723940000001,1,78724,OK
11,12,"2115 Campfield Pkwy, Austin, TX 78745, USA",2115 Campfield Pkwy in Austin (TX),30.19075909999999,-97.81718659999999,1,78745,OK
12,13,"2201 Montopolis Dr, Austin, TX 78741, USA",2201 Montopolis in Austin (TX),30.2221438,-97.70424720000001,1,78741,OK
13,14,"4715 S Congress Ave, Austin, TX 78745, USA",4715 S Congress in Austin (TX),30.214479600000004,-97.7686872,1,78745,OK
14,15,"13425 Coomes Dr, Del Valle, TX 78617, USA",13425 Coomes Dr in Del Valle (TX),30.17043,-97.6120783,1,78617,OK
15,16,"5630 Wagon Train Rd, Austin, TX 78749, USA",5630 Wagon Train Rd in Austin (TX),30.222898100000002,-97.8618081,1,78749,OK
16,17,"704 Cuernavaca Dr N, Austin, TX 78733, USA",704 Cuernavaca Dr N in Austin (TX),30.3321203,-97.8689927,1,78733,OK
17,18,"3406 Catalina Dr, Austin, TX 78741, USA",3406 Catalina in Austin (TX),30.21891969999999,-97.7391028,1,78741,OK
18,19,"20412 Keilman Ln, Pflugerville, TX 78660, USA",20412 Keilman Ln in Travis (TX),30.491573,-97.5918757,1,78660,OK
19,20,"7901 Metropolis Dr, Austin, TX 78744, USA",7901 Metrololis Dr in Austin (TX),30.2056688,-97.6905935,1,78744,OK
20,22,"W Dittmar Rd & Forest Wood Rd, Austin, TX 78745, USA",Forest Wood/Dittmar in Austin (TX),30.1857738,-97.80149,1,78745,OK
21,23,"600 W Carrie Manor St, Manor, TX 78653, USA",600 W Carrie Manor St in Travis (TX),30.340247100000003,-97.563749,1,78653,OK
22,24,"10100 Wolftrap Dr, Austin, TX 78749, USA",10100 Wolftrap Dr in Austin (TX),30.1847609,-97.8561882,1,78749,OK
